Gene,T1,T2,T3,T4,T5
TET3,0.135882994,0,0.062592835,0.04427685,0
TEX10,0.026223211,-0.111203046,0.056662237,-0.030723554,-0.075248159
TEX12,0.051762171,0,0,0,0
TEX14,0,0,0,0,0.118319047
TEX2,-0.057699338,0.009149234,-0.004916057,-0.057699338,-0.057699338
TEX22,0.075256571,0,0,0,0
TEX261,0.01982911,0.293906729,-0.033462281,0.031144913,-0.024318769
TEX264,0.192407479,-0.024736281,0.022584348,0.17524342,0.007036358
TEX29,0,0,0.052584087,0.017316898,0
TEX30,0.086134465,-0.042496488,-0.135474116,-0.215447577,-0.209189186
TEX9,0.145028003,0,0.05355234,0.127591551,0.036978066
TF,0,0,0,0,0
TFAM,-0.191135763,0.491136903,-0.037506912,-0.069994763,-0.496246807
TFAP2E,0,0,0,0,0
TFAP4,-0.063234258,-0.138310303,-0.138310303,-0.069129007,-0.138310303
TFB1M,-0.107182261,-0.026468355,-0.148200741,-0.148200741,-0.141394703
TFB2M,-0.298183311,-0.327096698,-0.260286305,-0.250428977,-0.300513575
TFCP2,0.037256946,0,0,0.016872871,0.011672316
TFDP1,0.593598388,1.03547528,-0.03670408,0.069686235,-0.266410815
TFDP2,0.18100599,0.563861836,-0.484247802,-0.422024026,-0.521064709
TFE3,-0.024412064,-0.055269727,-0.055269727,0.040891529,-0.037157756
TFEB,0.045413215,0.066848572,0.18586621,0.153687961,0.055268252
TFEC,-0.044371929,-0.108842785,-0.108842785,0.065849842,-0.108842785
TFG,-0.282108584,-0.126040059,-0.247292824,-0.338400193,-0.159392448
TFIP11,0.012756398,0.05271882,0.116143856,0.088453554,-0.050910777
TFPI,-0.835839311,-1.253933651,-1.253933651,-1.253933651,-1.242992685
TFPT,-0.026056488,-0.009388629,-0.141925476,-0.216581264,-0.178615639
TFR2,0.023543427,0,0,0,0
TFRC,-0.0626311,-0.346685325,-0.022831037,-0.082612321,-0.310853969
TGDS,-0.051761524,-0.036675123,-0.028928957,-0.022855841,-0.084900909
TGFA,0,0,0,0,0
TGFB1,-0.212251878,-0.170249417,0.114193907,0.163843733,-0.31617335
TGFB1I1,-0.140416835,-0.171274498,-0.171274498,-0.147444143,-0.171274498
TGFB3,0,0,0,0,0
TGFBI,0,0,0,0,0
TGFBR1,0.234648716,-0.061468573,0.06822816,0.155970929,-0.061468573
TGFBR2,0.024752463,0.316054581,0.367913513,0.319958138,-0.094391402
TGFBR3,0,0,0,0,0.062360976
TGFBR3L,0,0,0.042811813,0,0.205656922
TGFBRAP1,0.320986637,0.154202964,-0.047753869,-0.010417454,-0.04324084
TGIF1,-0.050042665,-0.441554833,0.011971086,-0.046558114,-0.42035431
TGIF2,0.090245699,-0.005069179,0.174151064,0.006345082,-0.022425553
TGM1,0,0,0,0,0
TGM2,0,0,0,0.015000583,0
TGM4,0,0,0,0,0
TGOLN2,0.139243959,0.081983621,-0.177019236,-0.022224652,-0.445858795
TGS1,0.147424839,0.207774641,0.160330147,0.020893529,-0.269111401
THADA,0.092032466,-0.033462281,0.124869521,0.049975371,-0.019295757
THAP1,-0.009418163,0.135248526,-0.03479281,0.109097171,-0.169819982
THAP10,0.030857663,0,0,0,0
THAP11,-0.012558326,-0.078662366,-0.011244973,-0.044737441,-0.021030897
THAP2,0.064993652,-0.042349931,0.101428117,0.016380309,0.209919076
THAP3,-0.069567266,-0.142826658,-0.09921235,-0.123383025,-0.045426824
THAP4,0.082544639,-0.04865906,0.049743855,0.038362557,-0.027313498
THAP5,0.044416536,0,0.073348859,0.059654663,0.03938863
THAP6,0.080754207,-0.019542801,-0.022846128,0.015042337,-0.063419912
THAP7,-0.087410264,0.015480902,0.084750312,0.190531958,-0.068755764
THAP7-AS1,0,0,0,0.009910728,0.006124303
THAP8,0,0,0,0,0.007387617
THAP9,-0.050901175,0.205468592,-0.050901175,-0.030196954,-0.050901175
THAP9-AS1,-0.500606192,-0.651541175,-0.48475518,-0.430085477,-0.53972871
THBD,-0.626553493,-0.626553493,-0.626553493,-0.626553493,-0.626553493
THBS1,0,0,0.039605415,0.004987363,0
THBS3,0.037933706,0,0,0.01144261,0
THBS4,0,0,0,0,0
THCAT158,0,0,0,0,0
THEM4,0.078895705,-0.04749886,0.002005585,0.021215309,-0.035236935
THEM6,0.037933706,0.632361957,0.03624324,0.019363246,0.053045949
